;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Branch_Main_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq
0;Tests;active;04/01/2021;04/01/2021;00:00:00;75.53 %;20.0 %;80.0 %;00:09:48;00:01:18;1.88;0.48;6415;100;02:27:34;03:54:34;2022-05: 100.0 % / 
1;Docs;active;25/02/2021;25/02/2021;00:00:00;94.0 %;23.0 %;77.0 %;00:01:59;00:00:15;1;0.0;2928;100;03:44:15;08:26:57;2022-05: 100.0 % / 
2;Schedule tests;active;14/03/2022;14/03/2022;00:00:00;100.0 %;100.0 %;0.0 %;00:10:12;00:01:19;5;0.0;57;57;1 day, 7:17:35;17:05:17;2022-05: 35.09 % / 2022-04: 38.6 % / 2022-03: 26.32 % / 
3;Schedule;active;14/03/2022;14/03/2022;00:00:00;100.0 %;100.0 %;0.0 %;00:00:15;00:00:02;1;0.0;74;74;1 day, 0:00:20;00:08:08;2022-05: 36.49 % / 2022-04: 40.54 % / 2022-03: 22.97 % / 
