;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;publish-on-tag;active;2020-10-23T09:40:20.000-03:00;2020-10-23T09:40:20.000-03:00;0:00:00;0:04:02;0:04:23;14 days, 23:08:40;18 days, 4:25:02;1;0.0;83.33 %;0.0 %;100.0 %;36;36;2022-03: 11.11 % / 2022-02: 13.89 % / 2022-01: 11.11 % / 2021-12: 5.56 % / 2021-11: 8.33 % / 2021-09: 2.78 % / 2021-08: 2.78 % / 2021-06: 2.78 % / 2021-05: 8.33 % / 2021-04: 2.78 % / 2021-02: 22.22 % / 2020-11: 2.78 % / 2020-10: 5.56 % / 
1;run-checks;active;2021-01-08T09:07:22.000-03:00;2021-01-08T09:07:22.000-03:00;0:00:00;0:21:05;0:02:38;3:38:42;9:20:54;4.7;1.2;84.54 %;24.0 %;76.0 %;2505;100;2022-04: 88.0 % / 2022-03: 12.0 % / 
2;Scorecards supply-chain security;active;2022-02-01T05:56:10.000-03:00;2022-02-01T05:56:10.000-03:00;0:00:00;0:01:11;0:00:12;13:06:07;23:42:07;1;0.0;100.0 %;100.0 %;0.0 %;158;100;2022-04: 24.0 % / 2022-03: 60.0 % / 2022-02: 16.0 % / 
