;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;Tests;active;2021-01-04T17:09:59.000-03:00;2021-01-04T17:09:59.000-03:00;0:00:00;0:09:10;0:01:01;1:54:53;3:25:51;1.84;0.55;82.22 %;22.0 %;78.0 %;5978;100;2022-04: 100.0 % / 
1;Docs;active;2021-02-25T08:37:58.000-03:00;2021-02-25T08:37:58.000-03:00;0:00:00;0:02:02;0:00:15;4:13:58;10:08:32;0.98;0.14;89.69 %;20.0 %;80.0 %;2683;100;2022-04: 69.0 % / 2022-03: 31.0 % / 
2;Schedule tests;active;2022-03-14T04:36:54.000-03:00;2022-03-14T04:36:54.000-03:00;0:00:00;0:10:25;0:01:33;1 day, 7:01:04;18:01:13;5;0.0;100.0 %;100.0 %;0.0 %;25;25;2022-04: 40.0 % / 2022-03: 60.0 % / 
3;Schedule;active;2022-03-14T04:36:54.000-03:00;2022-03-14T04:36:54.000-03:00;0:00:00;0:00:14;0:00:02;1 day, 0:00:50;0:04:21;1;0.0;100.0 %;100.0 %;0.0 %;32;32;2022-04: 46.88 % / 2022-03: 53.12 % / 
