;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;Build and Test;active;2021-01-16T05:55:57.000-03:00;2021-06-18T00:13:32.000-03:00;152 days 18:17:35;0:51:02;0:06:14;1 day, 13:19:05;2 days, 19:57:18;10;0.0;63.64 %;0.0 %;100.0 %;1864;100;2022-04: 2.0 % / 2022-03: 24.0 % / 2022-02: 9.0 % / 2022-01: 27.0 % / 2021-12: 31.0 % / 2021-11: 7.0 % / 
1;Build and Test For Dubbo 3;active;2021-01-26T06:04:32.000-03:00;2021-06-17T13:14:42.000-03:00;142 days 7:10:10;0:54:11;0:18:21;4:11:05;9:23:50;17.72;1.39;80.0 %;0.0 %;100.0 %;3759;100;2022-04: 48.0 % / 2022-03: 52.0 % / 
2;Build and Test For Dubbo 2.6;active;2021-03-04T11:51:07.000-03:00;2021-03-04T11:51:07.000-03:00;0:00:00;0:18:28;0:49:28;3 days, 19:06:00;11 days, 10:35:11;2;0.0;61.25 %;0.0 %;100.0 %;80;80;2021-12: 6.25 % / 2021-09: 17.5 % / 2021-08: 7.5 % / 2021-07: 5.0 % / 2021-06: 12.5 % / 2021-05: 35.0 % / 2021-04: 5.0 % / 2021-03: 11.25 % / 
