;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;Maven Build Verify;active;2020-02-28T15:07:58.000-03:00;2021-12-10T07:51:59.000-03:00;650 days 16:44:01;0:03:20;0:00:23;2:37:44;7:31:55;0.98;0.14;94.95 %;0.0 %;100.0 %;11279;100;2022-04: 100.0 % / 
1;CodeQL;active;2020-10-01T15:34:01.000-03:00;2021-10-01T12:32:57.000-03:00;364 days 20:58:56;0:17:51;0:02:51;23:59:59;0:00:11;1;0.0;99.0 %;0.0 %;100.0 %;1438;100;2022-04: 15.0 % / 2022-03: 31.0 % / 2022-02: 28.0 % / 2022-01: 26.0 % / 
