;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;CI;active;2021-03-16T13:48:45.000-03:00;2021-03-16T13:48:45.000-03:00;0:00:00;0:18:23;0:02:29;7:19:13;17:54:32;5.82;1.03;84.54 %;0.0 %;100.0 %;1035;100;2022-04: 34.0 % / 2022-03: 66.0 % / 
1;Validate Gradle Wrapper;active;2021-05-05T05:51:42.000-03:00;2021-05-05T05:51:42.000-03:00;0:00:00;0:00:23;0:00:02;81 days, 8:24:19;140 days, 13:13:59;1;0.0;100.0 %;0.0 %;100.0 %;4;4;2022-01: 25.0 % / 2021-05: 75.0 % / 
2;pages-build-deployment;active;2021-12-16T18:30:22.000-03:00;2021-12-16T18:30:22.000-03:00;0:00:00;0:10:26;0:00:51;1 day, 5:09:56;1 day, 16:51:06;2.03;0.17;96.94 %;0.0 %;100.0 %;98;98;2022-04: 4.08 % / 2022-03: 34.69 % / 2022-02: 24.49 % / 2022-01: 27.55 % / 2021-12: 9.18 % / 
