;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;CodeQL;active;2020-10-16T04:01:21.000-03:00;2020-10-16T04:01:21.000-03:00;0:00:00;0:10:42;0:01:54;2:29:14;4:23:22;2.2;0.47;92.0 %;22.0 %;78.0 %;4253;100;2022-04: 100.0 % / 
1;Build project;active;2020-12-22T07:01:52.000-03:00;2020-12-22T07:01:52.000-03:00;0:00:00;0:35:54;0:07:27;7:51:50;13:12:11;1;0.0;90.0 %;95.0 %;5.0 %;1210;100;2022-04: 26.0 % / 2022-03: 74.0 % / 
2;Deploy project;active;2020-12-22T14:33:35.000-03:00;2020-12-24T06:05:22.000-03:00;1 day 15:31:47;0:08:39;0:03:35;6:50:25;12:36:21;3;0.0;98.0 %;65.0 %;35.0 %;1462;100;2022-04: 39.0 % / 2022-03: 61.0 % / 
3;Build PR;active;2020-12-22T18:26:37.000-03:00;2021-04-27T08:38:27.000-03:00;125 days 14:11:50;1:30:16;0:31:04;3:52:25;6:10:22;7.92;1.81;47.47 %;0.0 %;100.0 %;2286;100;2022-04: 81.0 % / 2022-03: 19.0 % / 
4;PR Reports;active;2021-02-07T13:56:49.000-03:00;2021-02-07T13:56:49.000-03:00;0:00:00;0:00:30;0:00:09;3:34:10;7:31:56;2;0.0;72.0 %;0.0 %;100.0 %;2450;100;2022-04: 96.0 % / 2022-03: 4.0 % / 
5;Release;active;2021-02-11T16:14:39.000-03:00;2021-02-11T16:14:39.000-03:00;0:00:00;0:23:23;0:05:46;15 days, 4:12:34;16 days, 21:26:14;3.62;1.05;65.52 %;0.0 %;100.0 %;29;29;2022-04: 3.45 % / 2022-03: 3.45 % / 2022-02: 10.34 % / 2022-01: 3.45 % / 2021-12: 6.9 % / 2021-11: 3.45 % / 2021-10: 3.45 % / 2021-09: 6.9 % / 2021-08: 10.34 % / 2021-07: 3.45 % / 2021-05: 13.79 % / 2021-04: 6.9 % / 2021-03: 13.79 % / 2021-02: 10.34 % / 
6;Release 5.0;active;2022-03-11T12:34:47.000-03:00;2022-03-11T12:34:47.000-03:00;0:00:00;0:18:29;-1;0:18:35;0:15:53;3.5;0.55;16.67 %;100.0 %;0.0 %;6;6;2022-03: 100.0 % / 
