;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;CodeQL;active;2020-11-18T15:09:23.000-03:00;2020-11-18T15:09:23.000-03:00;0:00:00;0:04:39;0:02:10;1 day, 11:38:10;2 days, 5:54:11;1;0.0;100.0 %;0.0 %;100.0 %;273;100;2022-04: 2.0 % / 2022-03: 29.0 % / 2022-02: 13.0 % / 2022-01: 41.0 % / 2021-12: 10.0 % / 2021-11: 5.0 % / 
1;pages-build-deployment;active;2022-01-05T12:32:55.000-03:00;2022-01-05T12:32:55.000-03:00;0:00:00;0:01:05;0:00:13;2 days, 21:52:29;4 days, 20:53:55;2;0.0;100.0 %;0.0 %;100.0 %;24;24;2022-03: 41.67 % / 2022-02: 16.67 % / 2022-01: 41.67 % / 
2;Test Java 8, Android;active;2022-03-01T01:21:03.000-03:00;2022-03-01T01:21:03.000-03:00;0:00:00;0:04:45;0:00:25;12:58:13;14:59:55;1;0.0;87.5 %;0.0 %;100.0 %;24;24;2022-03: 100.0 % / 
3;Test Java 17;active;2022-03-01T18:31:50.000-03:00;2022-03-01T18:31:50.000-03:00;0:00:00;0:03:09;0:00:13;15:37:08;15:52:54;1;0.0;89.47 %;0.0 %;100.0 %;19;19;2022-03: 100.0 % / 
