;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;Build;active;2021-02-05T18:39:00.000-03:00;2021-02-05T18:39:00.000-03:00;0:00:00;0:06:05;0:01:02;18:08:33;22:54:40;1;0.0;96.0 %;0.0 %;100.0 %;370;100;2022-04: 12.0 % / 2022-03: 31.0 % / 2022-02: 52.0 % / 2022-01: 5.0 % / 
1;CodeQL;active;2020-10-07T08:15:26.000-03:00;2022-01-13T16:38:28.000-03:00;463 days 8:23:02;0:05:42;0:00:39;15:40:13;20:03:28;1;0.0;98.0 %;0.0 %;100.0 %;141;100;2022-04: 14.0 % / 2022-03: 35.0 % / 2022-02: 51.0 % / 
2;Validate Gradle Wrapper;active;2020-01-16T04:19:56.000-03:00;2020-01-16T04:19:56.000-03:00;0:00:00;0:00:17;0:00:07;1 day, 3:06:01;1 day, 11:21:37;1;0.0;100.0 %;0.0 %;100.0 %;454;100;2022-04: 8.0 % / 2022-03: 21.0 % / 2022-02: 35.0 % / 2022-01: 29.0 % / 2021-12: 7.0 % / 
