;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;CodeQL;active;2020-10-16;2020-10-16;0:00:00;93.55 %;21.0 %;79.0 %;0:11:50;0:04:22;2.36;0.65;5139;100;2:11:53;3:36:00;2022-07: 100.0 % / ;Analyze (java) / Analyze (cpp)
1;Build project;active;2020-12-22;2020-12-22;0:00:00;88.0 %;96.0 %;4.0 %;0:33:51;0:16:55;1;0.0;1422;100;7:12:18;11:14:46;2022-07: 65.0 % / 2022-06: 35.0 % / ;linux-x86_64-java11
2;Deploy project;active;2020-12-22;2020-12-24;1 day 15:31:47;98.0 %;70.0 %;30.0 %;0:15:27;0:20:37;3;0.0;1751;100;5:15:17;8:54:55;2022-07: 88.0 % / 2022-06: 12.0 % / ;stage-snapshot-linux-x86_64-java11 / stage-snapshot-linux-aarch64 / deploy-staged-snapshots
3;Build PR;active;2020-12-22;2021-04-27;125 days 14:11:50;39.78 %;1.0 %;99.0 %;1:14:28;0:42:12;8.82;1.99;2883;100;2:40:16;4:40:05;2022-07: 100.0 % / ;verify-pr / linux-x86_64-java11 build / linux-x86_64-java11-graal build / linux-x86_64-java17 build / linux-x86_64-java18 build / linux-x86_64-java11-boringssl build / linux-x86_64-java11-unsafe-buffer build / linux-aarch64-verify-native / windows-x86_64-java11-boringssl / windows-x86_64-java11-boringssl test reports
4;PR Reports;active;2021-02-07;2021-02-07;0:00:00;89.0 %;0.0 %;100.0 %;0:01:21;0:04:17;2;0.0;3175;100;2:10:58;3:47:27;2022-07: 100.0 % / ;tests (false) / tests (true, linux-x86_64-java8)
5;Release;active;2021-02-11;2021-02-11;0:00:00;68.75 %;0.0 %;100.0 %;0:23:16;0:05:27;3.66;1.0;32;32;16 days, 14:45:18;16 days, 18:44:46;2022-07: 3.12 % / 2022-06: 3.12 % / 2022-05: 3.12 % / 2022-04: 3.12 % / 2022-03: 3.12 % / 2022-02: 9.38 % / 2022-01: 3.12 % / 2021-12: 6.25 % / 2021-11: 3.12 % / 2021-10: 3.12 % / 2021-09: 6.25 % / 2021-08: 9.38 % / 2021-07: 3.12 % / 2021-05: 12.5 % / 2021-04: 6.25 % / 2021-03: 12.5 % / 2021-02: 9.38 % / ;prepare-release / stage-release-linux-x86_64-java8 / stage-release-linux-aarch64 / deploy-staged-release
6;Release 5.0;active;2022-03-11;2022-03-11;0:00:00;30.0 %;100.0 %;0.0 %;0:18:40;0:00:40;3.5;0.53;10;10;13 days, 4:34:46;26 days, 8:54:41;2022-07: 10.0 % / 2022-05: 30.0 % / 2022-03: 60.0 % / ;prepare-release / stage-release-linux-x86_64-java11 / stage-release-linux-aarch64 / deploy-staged-release
