;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Build and Test;active;16/01/2021;18/06/2021;152 days 18:17:35;57.0 %;0.0 %;100.0 %;00:52:47;00:06:41;10;0.0;1909;100;1 day, 18:50:54;3 days, 5:04:19;2022-07: 12.0 % / 2022-06: 22.0 % / 2022-05: 5.0 % / 2022-04: 8.0 % / 2022-03: 24.0 % / 2022-02: 8.0 % / 2022-01: 21.0 % / ;build-source / integration-test-prepare / Unit Test On ubuntu-18.04 (JDK: 8) / Unit Test On ubuntu-18.04 (JDK: 11) / Unit Test On windows-2019 (JDK: 8) / Unit Test On windows-2019 (JDK: 11) / Integration Test on ubuntu-18.04 (JobId: 1) / Integration Test on ubuntu-18.04 (JobId: 2) / Integration Test on ubuntu-18.04 (JobId: 3) / integration-test-result / 
1;Build and Test For Dubbo 3;active;26/01/2021;17/06/2021;142 days 7:10:10;60.0 %;0.0 %;100.0 %;00:46:33;00:12:27;17.02;2.45;4237;100;02:58:10;04:51:51;2022-07: 100.0 % / ;integration-test-prepare / Preparation for Unit Test On ubuntu-18.04 (JDK: 8) / Preparation for Unit Test On ubuntu-18.04 (JDK: 11) / Preparation for Unit Test On ubuntu-18.04 (JDK: 17) / Preparation for Unit Test On windows-2019 (JDK: 8) / Preparation for Unit Test On windows-2019 (JDK: 11) / Preparation for Unit Test On windows-2019 (JDK: 17) / build-source / Integration Test on ubuntu-18.04 (JobId: 1) / Integration Test on ubuntu-18.04 (JobId: 2) / Integration Test on ubuntu-18.04 (JobId: 3) / Unit Test On ubuntu-18.04 (JDK: 8) / Unit Test On ubuntu-18.04 (JDK: 11) / Unit Test On ubuntu-18.04 (JDK: 17) / Unit Test On windows-2019 (JDK: 8) / Unit Test On windows-2019 (JDK: 11) / Unit Test On windows-2019 (JDK: 17) / integration-test-result / 
2;Build and Test For Dubbo 2.6;active;04/03/2021;04/03/2021;00:00:00;61.25 %;0.0 %;100.0 %;00:18:08;00:48:28;2;0.0;80;80;3 days, 19:06:00;11 days, 10:35:11;2021-12: 6.25 % / 2021-09: 17.5 % / 2021-08: 7.5 % / 2021-07: 5.0 % / 2021-06: 12.5 % / 2021-05: 35.0 % / 2021-04: 5.0 % / 2021-03: 11.25 % / ;Unit Test On JDK: 8 / Unit Test On JDK: 11 / 
3;Build and Test For Dubbo 3.1;active;03/07/2022;03/07/2022;00:00:00;50.0 %;0.0 %;100.0 %;00:48:02;00:08:46;17.73;4.92;37;37;06:45:12;11:20:42;2022-07: 100.0 % / ;build-source / integration-test-prepare / Preparation for Unit Test On ubuntu-18.04 (JDK: 8) / Preparation for Unit Test On ubuntu-18.04 (JDK: 11) / Preparation for Unit Test On ubuntu-18.04 (JDK: 17) / Preparation for Unit Test On windows-2019 (JDK: 8) / Preparation for Unit Test On windows-2019 (JDK: 11) / Preparation for Unit Test On windows-2019 (JDK: 17) / Integration Test on ubuntu-18.04 (JobId: 1) / Integration Test on ubuntu-18.04 (JobId: 2) / Integration Test on ubuntu-18.04 (JobId: 3) / Unit Test On ubuntu-18.04 (JDK: 8) / Unit Test On ubuntu-18.04 (JDK: 11) / Unit Test On ubuntu-18.04 (JDK: 17) / Unit Test On windows-2019 (JDK: 8) / Unit Test On windows-2019 (JDK: 11) / Unit Test On windows-2019 (JDK: 17) / integration-test-result / 
