;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;ci;active;2022-05-20;2022-05-20;0:08:39;90.53 %;74.0 %;26.0 %;0:02:08;0:00:16;4;0.0;177;100;7:31:57;14:43:45;2022-07: 84.0 % / 2022-06: 16.0 % / ;e2e-test / type-test / ssr-sfc-test / unit-test
1;Create Release;active;2022-05-31;2022-05-31;0:00:00;100.0 %;0.0 %;100.0 %;0:00:17;0:00:02;1;0.0;29;29;1 day, 20:20:15;1 day, 18:45:02;2022-07: 31.03 % / 2022-06: 65.52 % / 2022-05: 3.45 % / ;Create Release
