;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Scorecards supply-chain security;active;2022-02-01;2022-02-01;0:00:00;97.0 %;100.0 %;0.0 %;0:01:59;0:02:13;1;0.0;470;100;7:52:34;15:52:21;2022-07: 38.0 % / 2022-06: 62.0 % / ;Scorecards analysis / 
1;Publish;active;2022-05-30;2022-05-30;0:00:00;68.75 %;6.25 %;93.75 %;0:07:28;0:05:29;1.75;0.45;16;16;2 days, 22:21:34;2 days, 3:59:34;2022-07: 25.0 % / 2022-06: 68.75 % / 2022-05: 6.25 % / ;publish / 
2;CI;active;2022-05-31;2022-06-28;28 days 3:52:22;49.48 %;12.0 %;88.0 %;0:18:45;0:04:47;8;0.0;867;100;2:21:29;6:58:34;2022-07: 100.0 % / ;Inspect code / Check documentation / Linux tests (14) / Linux tests (16) / Linux tests (18) / macOS tests (14) / Windows tests (14) / Deploy docs (if needed) / 
3;ToT CI;active;2022-05-31;2022-05-31;0:00:00;14.89 %;100.0 %;0.0 %;0:24:21;0:20:10;2.57;0.83;47;47;23:28:40;3:08:58;2022-07: 34.04 % / 2022-06: 65.96 % / ;linux-headless (16) / linux-headful (16) / linux-chrome-headless (16) / 
4;pages-build-deployment;active;2022-06-28;2022-06-28;0:00:00;95.0 %;0.0 %;100.0 %;0:00:54;0:00:28;3;0.0;20;20;12:29:42;22:05:51;2022-07: 60.0 % / 2022-06: 40.0 % / ;build / deploy / report-build-status / 
