;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;CI;active;2020-12-30T17:06:59.000-03:00;2020-12-30T17:06:59.000-03:00;0:00:00;0:21:26;0:08:47;0:44:11;1:04:12;3;0.0;90.91 %;0.0 %;100.0 %;21470;100;2022-04: 100.0 % / 
1;E2E Website;disabled_manually;2021-12-09T10:02:50.000-03:00;2021-12-15T04:13:47.000-03:00;5 days 18:10:57;0:19:12;-1;3:11:22;5:23:40;1.78;0.44;11.11 %;0.0 %;100.0 %;9;9;2021-12: 100.0 % / 
