;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Validate Gradle Wrapper;active;15/01/2020;15/01/2020;00:00:00;100.0 %;0.0 %;100.0 %;00:00:23;00:00:38;1;0.0;929;100;1 day, 16:43:40;4 days, 4:28:28;2022-07: 4.0 % / 2022-06: 29.0 % / 2022-05: 15.0 % / 2022-04: 16.0 % / 2022-03: 18.0 % / 2022-02: 13.0 % / 2022-01: 5.0 % / ;Validation 
1;Branch;active;20/11/2020;20/11/2020;00:01:31;92.0 %;0.0 %;100.0 %;00:16:51;00:01:26;1;0.0;103;100;5 days, 23:44:27;7 days, 4:43:24;2022-07: 2.0 % / 2022-06: 7.0 % / 2022-05: 5.0 % / 2022-04: 5.0 % / 2022-03: 5.0 % / 2022-02: 3.0 % / 2022-01: 9.0 % / 2021-12: 1.0 % / 2021-11: 5.0 % / 2021-10: 3.0 % / 2021-09: 4.0 % / 2021-08: 5.0 % / 2021-07: 3.0 % / 2021-06: 6.0 % / 2021-05: 10.0 % / 2021-04: 7.0 % / 2021-03: 2.0 % / 2021-02: 10.0 % / 2021-01: 4.0 % / 2020-12: 3.0 % / 2020-11: 1.0 % / ;build 
2;JDK 11;active;30/01/2021;30/01/2021;00:00:00;90.0 %;0.0 %;100.0 %;00:17:43;00:01:09;1;0.0;375;100;2 days, 16:17:26;5 days, 1:34:19;2022-07: 2.0 % / 2022-06: 21.0 % / 2022-05: 10.0 % / 2022-04: 11.0 % / 2022-03: 12.0 % / 2022-02: 10.0 % / 2022-01: 14.0 % / 2021-12: 6.0 % / 2021-11: 12.0 % / 2021-10: 2.0 % / ;build 
3;Pull Request;active;20/11/2020;05/05/2021;166 days 0:21:25;91.0 %;0.0 %;100.0 %;00:16:47;00:01:03;1;0.0;261;100;3 days, 10:50:53;5 days, 5:47:51;2022-07: 2.0 % / 2022-06: 12.0 % / 2022-05: 5.0 % / 2022-04: 5.0 % / 2022-03: 7.0 % / 2022-02: 5.0 % / 2022-01: 11.0 % / 2021-12: 3.0 % / 2021-11: 6.0 % / 2021-10: 8.0 % / 2021-09: 20.0 % / 2021-08: 16.0 % / ;build 
4;Release;active;20/11/2020;26/04/2021;156 days 17:00:19;58.62 %;0.0 %;100.0 %;00:19:25;00:00:59;1;0.0;29;29;19 days, 11:53:49;28 days, 4:34:06;2022-06: 3.45 % / 2022-03: 3.45 % / 2021-11: 3.45 % / 2021-10: 3.45 % / 2021-08: 6.9 % / 2021-06: 3.45 % / 2021-05: 6.9 % / 2021-04: 17.24 % / 2021-03: 3.45 % / 2021-02: 20.69 % / 2020-12: 27.59 % / ;build 
5;Snapshot;active;20/11/2020;20/11/2020;00:00:00;96.0 %;0.0 %;100.0 %;00:17:23;00:01:05;1;0.0;191;100;4 days, 0:03:18;5 days, 12:25:51;2022-06: 9.0 % / 2022-05: 5.0 % / 2022-04: 6.0 % / 2022-03: 5.0 % / 2022-02: 5.0 % / 2022-01: 3.0 % / 2021-12: 3.0 % / 2021-11: 6.0 % / 2021-10: 6.0 % / 2021-09: 10.0 % / 2021-08: 15.0 % / 2021-07: 13.0 % / 2021-06: 6.0 % / 2021-05: 8.0 % / ;build 
6;pages-build-deployment;active;25/01/2022;25/01/2022;00:00:00;100.0 %;0.0 %;100.0 %;00:02:30;00:00:21;2.67;0.49;15;15;9 days, 20:52:29;8 days, 8:53:01;2022-06: 26.67 % / 2022-05: 20.0 % / 2022-04: 20.0 % / 2022-03: 13.33 % / 2022-02: 13.33 % / 2022-01: 6.67 % / ;build / report-build-status / deploy 
