;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Validate Gradle Wrapper;active;2020-01-16;2020-01-16;0:00:00;100.0 %;0.0 %;100.0 %;0:00:16;0:00:01;1;0.0;530;100;1 day, 5:36:56;1 day, 8:06:04;2022-07: 4.0 % / 2022-06: 22.0 % / 2022-05: 36.0 % / 2022-04: 22.0 % / 2022-03: 16.0 % / ;Validation / 
1;CodeQL;active;2020-10-07;2022-01-13;463 days 8:23:02;96.0 %;0.0 %;100.0 %;0:05:30;0:00:35;1;0.0;272;100;13:09:54;19:47:02;2022-07: 7.0 % / 2022-06: 66.0 % / 2022-05: 27.0 % / ;Analyze (java) / 
2;Build Artifacts;active;2022-05-24;2022-05-28;3 days 21:42:52;86.11 %;0.0 %;100.0 %;0:03:04;0:00:28;2;0.0;36;36;1 day, 10:12:16;1 day, 13:30:59;2022-07: 11.11 % / 2022-06: 58.33 % / 2022-05: 30.56 % / ;build-win-bundle / build / 
3;Build Test;active;2022-05-28;2022-05-28;2:16:11;85.54 %;0.0 %;100.0 %;0:03:02;0:01:12;1;0.0;83;83;13:29:03;22:43:15;2022-07: 6.02 % / 2022-06: 74.7 % / 2022-05: 19.28 % / ;tests / 
