;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Tests;active;2021-01-04;2021-01-04;0:00:00;76.67 %;23.0 %;77.0 %;0:09:46;0:01:24;2;0.0;6739;100;2:51:32;4:30:34;2022-07: 100.0 % / ;JavaScript tests / Windows, SQLite, Python 3.10 / 
1;Linters;active;2021-01-20;2021-01-20;0:00:00;88.89 %;23.0 %;77.0 %;0:01:26;0:00:09;3;0.0;6716;100;2:51:32;4:30:34;2022-07: 100.0 % / ;isort / flake8 / black / 
2;Docs;active;2021-02-25;2021-02-25;0:00:00;90.32 %;28.0 %;72.0 %;0:02:03;0:00:18;1;0.0;3079;100;7:04:10;10:32:27;2022-07: 53.0 % / 2022-06: 47.0 % / ;docs / 
3;Schedule tests;active;2022-03-14;2022-03-14;0:00:00;100.0 %;100.0 %;0.0 %;0:10:12;0:01:11;5;0.0;87;87;1 day, 10:03:13;22:52:17;2022-07: 14.94 % / 2022-06: 19.54 % / 2022-05: 22.99 % / 2022-04: 25.29 % / 2022-03: 17.24 % / ;JavaScript tests / Windows, SQLite, Python 3.8 / Windows, SQLite, Python 3.9 / Windows, SQLite, Python 3.10 / Windows, SQLite, Python 3.11-dev / 
4;Schedule;active;2022-03-14;2022-03-14;0:00:00;100.0 %;100.0 %;0.0 %;0:00:15;0:00:02;1;0.0;123;100;1 day, 0:00:18;0:08:22;2022-07: 15.0 % / 2022-06: 30.0 % / 2022-05: 31.0 % / 2022-04: 24.0 % / ;Trigger Full Build (main) / 
