;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Android CI;active;2020-11-23;2020-11-23;0:00:00;73.0 %;0.0 %;100.0 %;0:06:50;0:00:52;1;0.0;859;100;1 day, 5:18:51;4 days, 9:26:06;2022-07: 16.0 % / 2022-06: 37.0 % / 2022-05: 20.0 % / 2022-03: 27.0 % / ;build / 
1;Validate Gradle Wrapper;active;2020-01-21;2020-01-21;0:00:00;99.0 %;0.0 %;100.0 %;0:00:27;0:00:53;1;0.0;1461;100;1 day, 5:18:51;4 days, 9:26:06;2022-07: 16.0 % / 2022-06: 37.0 % / 2022-05: 20.0 % / 2022-03: 27.0 % / ;Validation / 
2;pages-build-deployment;active;2022-02-07;2022-02-07;0:00:00;100.0 %;0.0 %;100.0 %;0:01:10;Sem runs suficientes;2;0.0;2;2;15 days, 22:25:32;Sem runs suficientes;2022-02: 100.0 % / ;build / deploy / 
