;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;ci;active;2021-08-08;2022-06-02;298 days 8:08:20;88.61 %;0.0 %;100.0 %;0:01:44;0:00:25;3.9;0.62;672;100;11:37:42;1 day, 2:01:30;2022-07: 12.0 % / 2022-06: 79.0 % / 2022-05: 9.0 % / ;build (12.x) / build (14.x) / build (16.x) / build (18.x) / 
1;CodeQL;active;2022-07-09;2022-07-09;0:00:00;100.0 %;0.0 %;100.0 %;0:03:03;Sem runs suficientes;1;0.0;6;6;1 day, 4:48:40;1 day, 10:05:34;2022-07: 100.0 % / ;Analyze (javascript) / 
