;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;Maven Build Verify;active;2020-02-28;2021-12-10;650 days 16:44:01;80.81 %;0.0 %;100.0 %;0:03:48;0:01:17;1;0.0;11824;100;1:52:37;3:42:43;2022-06: 99.0 % / 2022-07: 1.0 % / ;build / 
1;CodeQL;active;2020-10-01;2021-10-01;364 days 20:58:56;99.0 %;0.0 %;100.0 %;0:17:44;0:03:01;1;0.0;1527;100;1 day, 0:00:00;0:02:43;2022-07: 13.0 % / 2022-06: 30.0 % / 2022-05: 31.0 % / 2022-04: 26.0 % / ;Analyze / 
