;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;CodeQL;active;2020-11-18;2020-11-18;0:00:00;100.0 %;0.0 %;100.0 %;0:04:28;0:00:53;1;0.0;315;100;1 day, 18:00:11;2 days, 11:24:53;2022-07: 4.0 % / 2022-06: 4.0 % / 2022-05: 24.0 % / 2022-04: 12.0 % / 2022-03: 29.0 % / 2022-02: 13.0 % / 2022-01: 14.0 % / ;Analyze (java) / 
1;pages-build-deployment;active;2022-01-05;2022-01-05;0:00:00;97.62 %;0.0 %;100.0 %;0:01:04;0:00:12;2.43;0.5;42;42;4 days, 10:36:11;10 days, 17:14:45;2022-07: 4.76 % / 2022-05: 28.57 % / 2022-04: 9.52 % / 2022-03: 23.81 % / 2022-02: 9.52 % / 2022-01: 23.81 % / ;build / deploy / report-build-status / 
2;Test Java 8, Android;active;2022-03-01;2022-03-01;0:00:00;84.91 %;0.0 %;100.0 %;0:05:17;0:00:47;1;0.0;53;53;2 days, 10:52:59;8 days, 14:32:13;2022-07: 3.77 % / 2022-05: 35.85 % / 2022-04: 15.09 % / 2022-03: 45.28 % / ;build / 
3;Test Java 17;active;2022-03-01;2022-03-01;0:00:00;89.58 %;0.0 %;100.0 %;0:03:11;0:00:24;1;0.0;48;48;2 days, 16:46:55;9 days, 0:36:59;2022-07: 4.17 % / 2022-05: 39.58 % / 2022-04: 16.67 % / 2022-03: 39.58 % / ;build / 
