;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;CI;active;2021-03-16;2021-03-16;0:00:00;98.0 %;0.0 %;100.0 %;0:18:52;0:03:04;5.99;0.1;1163;100;19:10:43;1 day, 14:22:53;2022-07: 18.0 % / 2022-06: 31.0 % / 2022-05: 32.0 % / 2022-04: 19.0 % / ;pom.xml on JDK 8 / android/pom.xml on JDK 8 / pom.xml on JDK 11 / android/pom.xml on JDK 11 / Publish snapshot / Generate latest docs / 
1;Validate Gradle Wrapper;active;2021-05-05;2021-05-05;0:00:00;100.0 %;0.0 %;100.0 %;0:00:23;0:00:02;1;0.0;4;4;81 days, 8:24:19;140 days, 13:13:59;2022-01: 25.0 % / 2021-05: 75.0 % / ;Validation / 
2;pages-build-deployment;active;2021-12-16;2021-12-16;0:00:00;96.0 %;0.0 %;100.0 %;0:10:45;0:01:23;2.47;0.5;142;100;1 day, 13:44:46;2 days, 0:29:05;2022-07: 7.0 % / 2022-06: 11.0 % / 2022-05: 12.0 % / 2022-04: 18.0 % / 2022-03: 34.0 % / 2022-02: 18.0 % / ;build / deploy / report-build-status / 
